timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
2025/05/14 13:40:48.180, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:48.180, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:48.180, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:48.180, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:48.280, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:48.281, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:48.281, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:48.281, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:48.381, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:48.381, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:48.382, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:48.382, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:48.482, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:48.482, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:48.483, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:48.483, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:48.583, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:48.583, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:48.584, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:48.584, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:48.684, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:48.684, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:48.685, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:48.685, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:48.785, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:48.785, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:48.786, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:48.786, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:48.886, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:48.886, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:48.886, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:48.886, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:48.987, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:48.987, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:48.987, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:48.987, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:49.088, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:49.088, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:49.088, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:49.088, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:49.188, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:49.189, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:49.189, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:49.189, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:49.289, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:49.290, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:49.290, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:49.290, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:49.390, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:49.390, 0, 1, 40960, 53.81, 28, 210
2025/05/14 13:40:49.390, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:49.390, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:49.491, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:49.491, 0, 1, 40960, 54.09, 28, 210
2025/05/14 13:40:49.491, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:49.491, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:49.591, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:49.592, 0, 1, 40960, 53.81, 28, 210
2025/05/14 13:40:49.592, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:49.592, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:49.692, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:49.693, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:49.693, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:49.693, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:49.793, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:49.794, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:49.794, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:49.794, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:49.894, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:49.895, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:49.895, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:49.895, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:49.996, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:49.996, 0, 1, 40960, 53.81, 28, 210
2025/05/14 13:40:49.996, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:49.996, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:50.097, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:50.097, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:50.097, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:50.097, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:50.198, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:50.198, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:50.198, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:50.198, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:50.298, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:50.299, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:50.299, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:50.299, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:50.400, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:50.400, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:50.400, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:50.400, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:50.501, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:50.501, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:50.501, 0, 1, 40960, 52.06, 28, 210
